text,label
Cetirizine + Glyburide,Unknown
Cetirizine + Glipizide,Unknown
Cetirizine + Tegaserod,Unknown
Cetirizine + Orlistat,Unknown
Cetirizine + Rosuvastatin,Unknown
Cetirizine + Miconazole,Unknown
Cetirizine + Rabeprazole,Unknown
Cetirizine + Pioglitazone,Unknown
Cetirizine + Calcium chloride,Unknown
Cetirizine + Clarithromycin,Unknown
Cetirizine + Dexamethasone,Unknown
Cetirizine + Ursodeoxycholic acid,Unknown
Metformin + Diltiazem,Unknown
Diltiazem + Vancomycin,Unknown
Diltiazem + Ondansetron,Unknown
Metformin + Alfuzosin,Unknown
Alfuzosin + Prednisone,Unknown
Alfuzosin + Simvastatin,Unknown
Alfuzosin + Budesonide,Unknown
Minoxidil + Vancomycin,Unknown
Minoxidil + Simvastatin,Unknown
Minoxidil + Ondansetron,Unknown
Aztreonam + Vancomycin,Unknown
Aztreonam + Hydrocortisone,Unknown
Aztreonam + Ondansetron,Unknown
Metformin + Chlorzoxazone,Unknown
Chlorzoxazone + Prednisone,Unknown
Chlorzoxazone + Simvastatin,Unknown
Mefloquine + Prednisone,Unknown
Mefloquine + Simvastatin,Unknown
Sulfadiazine + Simvastatin,Unknown
Clozapine + Vancomycin,Unknown
Clozapine + Prednisone,Unknown
Clozapine + Simvastatin,Unknown
Clozapine + Hydrocortisone,Unknown
Levonorgestrel + Prednisone,Unknown
Levonorgestrel + Simvastatin,Unknown
Levonorgestrel + Ondansetron,Unknown
Mirtazapine + Vancomycin,Unknown
Mirtazapine + Prednisone,Unknown
Mirtazapine + Simvastatin,Unknown
Meprobamate + Prednisone,Unknown
Meprobamate + Simvastatin,Unknown
Meprobamate + Ondansetron,Unknown
Timolol + Vancomycin,Unknown
Timolol + Simvastatin,Unknown
Trihexyphenidyl + Simvastatin,Unknown
Mexiletine + Vancomycin,Unknown
Mexiletine + Simvastatin,Unknown
Calcitriol + Amlodipine,Unknown
Pantoprazole + Amlodipine,Unknown
Glimepiride + Amlodipine,Unknown
Mesalazine + Amlodipine,Unknown
Doxycycline + Amlodipine,Unknown
Acarbose + Amlodipine,Unknown
Metformin + Amlodipine,Unknown
Omeprazole + Amlodipine,Unknown
Sucralfate + Amlodipine,Unknown
Palonosetron + Amlodipine,Unknown
Amlodipine + Rosiglitazone,Unknown
Amlodipine + Lansoprazole,Unknown
Amlodipine + Cimetidine,Unknown
Amlodipine + Vancomycin,Unknown
Amlodipine + Atropine,Unknown
Amlodipine + Lactulose,Unknown
Amlodipine + Nizatidine,Unknown
Amlodipine + Nystatin,Unknown
Amlodipine + Nateglinide,Unknown
Amlodipine + Scopolamine,Unknown
Amlodipine + Tetracycline,Unknown
Amlodipine + Potassium chloride,Unknown
Amlodipine + Sulfasalazine,Unknown
Amlodipine + Dicyclomine,Unknown
Amlodipine + Loperamide,Unknown
Amlodipine + Ranitidine,Unknown
Amlodipine + Chlorhexidine,Unknown
Amlodipine + Granisetron,Unknown
Amlodipine + Ondansetron,Unknown
Amlodipine + Repaglinide,Unknown
Amlodipine + Metronidazole,Unknown
Amlodipine + Famotidine,Unknown
Amlodipine + Misoprostol,Unknown
Amlodipine + Cromoglicic acid,Unknown
Amlodipine + Glyburide,Unknown
Amlodipine + Minocycline,Unknown
Amlodipine + Amoxicillin,Unknown
Amlodipine + Glipizide,Unknown
Amlodipine + Tegaserod,Unknown
Amlodipine + Orlistat,Unknown
Amlodipine + Rosuvastatin,Unknown
Amlodipine + Rabeprazole,Unknown
Amlodipine + Pioglitazone,Unknown
Amlodipine + Metoclopramide,Unknown
Amlodipine + Ursodeoxycholic acid,Unknown
Digoxin + Vancomycin,Unknown
Digoxin + Simvastatin,Unknown
Digoxin + Ondansetron,Unknown
Nimodipine + Simvastatin,Unknown
Metformin + Carisoprodol,Unknown
Carisoprodol + Vancomycin,Unknown
Carisoprodol + Prednisone,Unknown
Carisoprodol + Simvastatin,Unknown
Carisoprodol + Hydrocortisone,Unknown
Carisoprodol + Ondansetron,Unknown
Progesterone + Lactulose,Unknown
Progesterone + Triamcinolone,Unknown
Progesterone + Simvastatin,Unknown
Progesterone + Nystatin,Unknown
Progesterone + Sulfasalazine,Unknown
Progesterone + Ranitidine,Unknown
Progesterone + Tegaserod,Unknown
Progesterone + Rosuvastatin,Unknown
Progesterone + Rabeprazole,Unknown
Nisoldipine + Simvastatin,Unknown
Metformin + Alprazolam,Unknown
Alprazolam + Vancomycin,Unknown
Alprazolam + Simvastatin,Unknown
Alprazolam + Hydrocortisone,Unknown
Alprazolam + Ondansetron,Unknown
Alprazolam + Amoxicillin,Unknown
Alprazolam + Budesonide,Unknown
Mupirocin + Vancomycin,Unknown
Mupirocin + Prednisone,Unknown
Mupirocin + Simvastatin,Unknown
Mupirocin + Ondansetron,Unknown
Rosiglitazone + Allopurinol,Unknown
Pramipexole + Vancomycin,Unknown
Pramipexole + Prednisone,Unknown
Pramipexole + Simvastatin,Unknown
Pantoprazole + Ampicillin,Unknown
Morphine + Ampicillin,Unknown
Omeprazole + Ampicillin,Unknown
Ampicillin + Vancomycin,Unknown
Ampicillin + Lactulose,Unknown
Ampicillin + Prednisone,Unknown
Ampicillin + Nystatin,Unknown
Ampicillin + Hydrocortisone,Unknown
Ampicillin + Potassium chloride,Unknown
Ampicillin + Prednisolone,Unknown
Ampicillin + Ranitidine,Unknown
Ampicillin + Ondansetron,Unknown
Ampicillin + Metronidazole,Unknown
Ampicillin + Famotidine,Unknown
Ampicillin + Acetylsalicylic acid,Unknown
Ampicillin + Metoclopramide,Unknown
Ampicillin + Dexamethasone,Unknown
Phenoxymethylpenicillin + Simvastatin,Unknown
Spironolactone + Vancomycin,Unknown
Spironolactone + Simvastatin,Unknown
Pantoprazole + Methylphenidate,Unknown
Morphine + Methylphenidate,Unknown
Omeprazole + Methylphenidate,Unknown
Sucralfate + Methylphenidate,Unknown
Rosiglitazone + Methylphenidate,Unknown
Methylphenidate + Vancomycin,Unknown
Methylphenidate + Lactulose,Unknown
Methylphenidate + Triamcinolone,Unknown
Methylphenidate + Prednisone,Unknown
Methylphenidate + Simvastatin,Unknown
Methylphenidate + Nystatin,Unknown
Methylphenidate + Tetracycline,Unknown
Methylphenidate + Potassium chloride,Unknown
Methylphenidate + Prednisolone,Unknown
Methylphenidate + Ranitidine,Unknown
Methylphenidate + Ondansetron,Unknown
Methylphenidate + Metronidazole,Unknown
Methylphenidate + Tegaserod,Unknown
Methylphenidate + Orlistat,Unknown
Methylphenidate + Rosuvastatin,Unknown
Methylphenidate + Rabeprazole,Unknown
Methylphenidate + Pioglitazone,Unknown
Methylphenidate + Clarithromycin,Unknown
Methylphenidate + Metoclopramide,Unknown
Methylphenidate + Ursodeoxycholic acid,Unknown
Methocarbamol + Vancomycin,Unknown
Methocarbamol + Prednisone,Unknown
Methocarbamol + Simvastatin,Unknown
Methocarbamol + Ondansetron,Unknown
Zolpidem + Simvastatin,Unknown
Metformin + Famciclovir,Unknown
Famciclovir + Vancomycin,Unknown
Famciclovir + Prednisone,Unknown
Famciclovir + Simvastatin,Unknown
Famciclovir + Ondansetron,Unknown
Prochlorperazine + Vancomycin,Unknown
Prochlorperazine + Simvastatin,Unknown
Palonosetron + Allopurinol,Unknown
Allopurinol + Lactulose,Unknown
Allopurinol + Nystatin,Unknown
Allopurinol + Aprepitant,Unknown
Allopurinol + Nateglinide,Unknown
Allopurinol + Sulfasalazine,Unknown
Allopurinol + Misoprostol,Unknown
Allopurinol + Neomycin,Unknown
Allopurinol + Balsalazide,Unknown
Allopurinol + Tegaserod,Unknown
Allopurinol + Rosuvastatin,Unknown
Allopurinol + Rifaximin,Unknown
Metformin + Ceftazidime,Unknown
Ceftazidime + Vancomycin,Unknown
Ceftazidime + Prednisone,Unknown
Ceftazidime + Simvastatin,Unknown
Ceftazidime + Hydrocortisone,Unknown
Ceftazidime + Ondansetron,Unknown
Metformin + Cerivastatin,Unknown
Cerivastatin + Prednisone,Unknown
Sucralfate + Trimethoprim,Unknown
Trimethoprim + Vancomycin,Unknown
Trimethoprim + Lactulose,Unknown
Trimethoprim + Simvastatin,Unknown
Trimethoprim + Nystatin,Unknown
Trimethoprim + Rosuvastatin,Unknown
Trimethoprim + Clarithromycin,Unknown
Metformin + Gemcitabine,Unknown
Gemcitabine + Vancomycin,Unknown
Gemcitabine + Prednisone,Unknown
Gemcitabine + Simvastatin,Unknown
Gemcitabine + Ondansetron,Unknown
Chloramphenicol + Vancomycin,Unknown
Chloramphenicol + Hydrocortisone,Unknown
Chloramphenicol + Ondansetron,Unknown
Chloramphenicol + Amoxicillin,Unknown
Tramadol + Lansoprazole,Unknown
Pregabalin + Lansoprazole,Unknown
Metoprolol + Lansoprazole,Unknown
Piperacillin + Lansoprazole,Unknown
Metformin + Lansoprazole,Unknown
Progesterone + Lansoprazole,Unknown
Methylphenidate + Lansoprazole,Unknown
Allopurinol + Lansoprazole,Unknown
Trimethoprim + Lansoprazole,Unknown
Lansoprazole + Meperidine,Unknown
Lansoprazole + Loratadine,Unknown
Lansoprazole + Oxycodone,Unknown
Lansoprazole + Vancomycin,Unknown
Lansoprazole + Prednisone,Unknown
Lansoprazole + Tamoxifen,Unknown
Lansoprazole + Midazolam,Unknown
Lansoprazole + Nitrofurantoin,Unknown
Lansoprazole + Lisinopril,Unknown
Lansoprazole + Nitroglycerin,Unknown
Lansoprazole + Propofol,Unknown
Lansoprazole + Ondansetron,Unknown
Lansoprazole + Salmeterol,Unknown
Lansoprazole + Exemestane,Unknown
Lansoprazole + Ofloxacin,Unknown
Lansoprazole + Sevoflurane,Unknown
Lansoprazole + Fluticasone,Unknown
Droperidol + Simvastatin,Unknown
Levothyroxine + Vancomycin,Unknown
Levothyroxine + Prednisone,Unknown
Levothyroxine + Hydrocortisone,Unknown
Levothyroxine + Ondansetron,Unknown
Levothyroxine + Amoxicillin,Unknown
Levothyroxine + Budesonide,Unknown
Pantoprazole + Meperidine,Unknown
Metformin + Meperidine,Unknown
Omeprazole + Meperidine,Unknown
Sucralfate + Meperidine,Unknown
Rosiglitazone + Meperidine,Unknown
Meperidine + Vancomycin,Unknown
Meperidine + Lactulose,Unknown
Meperidine + Triamcinolone,Unknown
Meperidine + Prednisone,Unknown
Meperidine + Simvastatin,Unknown
Meperidine + Nystatin,Unknown
Meperidine + Aprepitant,Unknown
Meperidine + Potassium chloride,Unknown
Meperidine + Ranitidine,Unknown
Meperidine + Metronidazole,Unknown
Meperidine + Misoprostol,Unknown
Meperidine + Minocycline,Unknown
Meperidine + Tegaserod,Unknown
Meperidine + Orlistat,Unknown
Meperidine + Rosuvastatin,Unknown
Meperidine + Rabeprazole,Unknown
Meperidine + Pioglitazone,Unknown
Meperidine + Calcium chloride,Unknown
Meperidine + Clarithromycin,Unknown
Phentermine + Loratadine,Unknown
Pantoprazole + Loratadine,Unknown
Mesalazine + Loratadine,Unknown
Acarbose + Loratadine,Unknown
Morphine + Loratadine,Unknown
Metformin + Loratadine,Unknown
Omeprazole + Loratadine,Unknown
Sucralfate + Loratadine,Unknown
Palonosetron + Loratadine,Unknown
Rosiglitazone + Loratadine,Unknown
Loratadine + Vancomycin,Unknown
Loratadine + Lactulose,Unknown
Loratadine + Nizatidine,Unknown
Loratadine + Triamcinolone,Unknown
Loratadine + Prednisone,Unknown
Loratadine + Simvastatin,Unknown
Loratadine + Nystatin,Unknown
Loratadine + Aprepitant,Unknown
Loratadine + Nateglinide,Unknown
Loratadine + Scopolamine,Unknown
Loratadine + Tetracycline,Unknown
Loratadine + Potassium chloride,Unknown
Loratadine + Sulfasalazine,Unknown
Loratadine + Prednisolone,Unknown
Loratadine + Ranitidine,Unknown
Loratadine + Ondansetron,Unknown
Loratadine + Repaglinide,Unknown
Loratadine + Metronidazole,Unknown
Loratadine + Misoprostol,Unknown
Loratadine + Cromoglicic acid,Unknown
Loratadine + Minocycline,Unknown
Loratadine + Tegaserod,Unknown
Loratadine + Orlistat,Unknown
Loratadine + Rosuvastatin,Unknown
Loratadine + Sibutramine,Unknown
Loratadine + Rabeprazole,Unknown
Loratadine + Pioglitazone,Unknown
Loratadine + Calcium chloride,Unknown
Loratadine + Metoclopramide,Unknown
Loratadine + Ursodeoxycholic acid,Unknown
Prazosin + Simvastatin,Unknown
Metformin + Imipramine,Unknown
Imipramine + Vancomycin,Unknown
Imipramine + Prednisone,Unknown
Imipramine + Simvastatin,Unknown
Acitretin + Simvastatin,Unknown
Nabumetone + Simvastatin,Unknown
Nabumetone + Ondansetron,Unknown
Ketorolac + Simvastatin,Unknown
Ketorolac + Ondansetron,Unknown
Pantoprazole + Fluoxetine,Unknown
Mesalazine + Fluoxetine,Unknown
Metformin + Fluoxetine,Unknown
Omeprazole + Fluoxetine,Unknown
Sucralfate + Fluoxetine,Unknown
Rosiglitazone + Fluoxetine,Unknown
Lansoprazole + Fluoxetine,Unknown
Fluoxetine + Vancomycin,Unknown
Fluoxetine + Nizatidine,Unknown
Fluoxetine + Triamcinolone,Unknown
Fluoxetine + Prednisone,Unknown
Fluoxetine + Simvastatin,Unknown
Fluoxetine + Nystatin,Unknown
Fluoxetine + Hydrocortisone,Unknown
Fluoxetine + Potassium chloride,Unknown
Fluoxetine + Sulfasalazine,Unknown
Fluoxetine + Prednisolone,Unknown
Fluoxetine + Ranitidine,Unknown
Fluoxetine + Misoprostol,Unknown
Fluoxetine + Balsalazide,Unknown
Fluoxetine + Tegaserod,Unknown
Fluoxetine + Orlistat,Unknown
Fluoxetine + Rosuvastatin,Unknown
Fluoxetine + Rabeprazole,Unknown
Fluoxetine + Pioglitazone,Unknown
Metformin + Chlordiazepoxide,Unknown
Chlordiazepoxide + Prednisone,Unknown
Chlordiazepoxide + Simvastatin,Unknown
Sucralfate + Duloxetine,Unknown
Rosiglitazone + Duloxetine,Unknown
Duloxetine + Lactulose,Unknown
Duloxetine + Nystatin,Unknown
Duloxetine + Aprepitant,Unknown
Duloxetine + Nateglinide,Unknown
Duloxetine + Sulfasalazine,Unknown
Duloxetine + Misoprostol,Unknown
Duloxetine + Balsalazide,Unknown
Duloxetine + Tegaserod,Unknown
Duloxetine + Rosuvastatin,Unknown
Chlorpromazine + Vancomycin,Unknown
Chlorpromazine + Prednisone,Unknown
Chlorpromazine + Simvastatin,Unknown
Amikacin + Prednisone,Unknown
Amikacin + Hydrocortisone,Unknown
Amikacin + Ondansetron,Unknown
Raloxifene + Vancomycin,Unknown
Raloxifene + Simvastatin,Unknown
Celecoxib + Simvastatin,Unknown
Metformin + Brimonidine,Unknown
Brimonidine + Vancomycin,Unknown
Brimonidine + Prednisone,Unknown
Brimonidine + Simvastatin,Unknown
Brimonidine + Hydrocortisone,Unknown
Brimonidine + Ondansetron,Unknown
Brimonidine + Budesonide,Unknown
Dicloxacillin + Prednisone,Unknown
Dicloxacillin + Ondansetron,Unknown
Sotalol + Vancomycin,Unknown
Sotalol + Simvastatin,Unknown
Metformin + Buspirone,Unknown
Buspirone + Vancomycin,Unknown
Buspirone + Prednisone,Unknown
Buspirone + Simvastatin,Unknown
Fosinopril + Simvastatin,Unknown
Metformin + Cefotaxime,Unknown
Cefotaxime + Vancomycin,Unknown
Cefotaxime + Prednisone,Unknown
Cefotaxime + Simvastatin,Unknown
Cefotaxime + Hydrocortisone,Unknown
Cefotaxime + Ondansetron,Unknown
Phentermine + Oxycodone,Unknown
Pantoprazole + Oxycodone,Unknown
Acarbose + Oxycodone,Unknown
Sucralfate + Oxycodone,Unknown
Rosiglitazone + Oxycodone,Unknown
Oxycodone + Vancomycin,Unknown
Oxycodone + Lactulose,Unknown
Oxycodone + Triamcinolone,Unknown
Oxycodone + Oxandrolone,Unknown
Oxycodone + Prednisone,Unknown
Oxycodone + Simvastatin,Unknown
Oxycodone + Nystatin,Unknown
Oxycodone + Nateglinide,Unknown
Oxycodone + Tetracycline,Unknown
Oxycodone + Potassium chloride,Unknown
Oxycodone + Sulfasalazine,Unknown
Oxycodone + Prednisolone,Unknown
Oxycodone + Ranitidine,Unknown
Oxycodone + Misoprostol,Unknown
Oxycodone + Neomycin,Unknown
Oxycodone + Tegaserod,Unknown
Oxycodone + Rosuvastatin,Unknown
Oxycodone + Rabeprazole,Unknown
Oxycodone + Pioglitazone,Unknown
Oxycodone + Calcium chloride,Unknown
Oxycodone + Ursodeoxycholic acid,Unknown
Pregabalin + Cimetidine,Unknown
Piperacillin + Cimetidine,Unknown
Progesterone + Cimetidine,Unknown
Allopurinol + Cimetidine,Unknown
Loratadine + Cimetidine,Unknown
Fluoxetine + Cimetidine,Unknown
Cimetidine + Vancomycin,Unknown
Cimetidine + Ciprofloxacin,Unknown
Cimetidine + Prednisone,Unknown
Cimetidine + Nitrofurantoin,Unknown
Cimetidine + Lisinopril,Unknown
Cimetidine + Nitroglycerin,Unknown
Cimetidine + Hydrocortisone,Unknown
Cimetidine + Propofol,Unknown
Cimetidine + Ondansetron,Unknown
Cimetidine + Salmeterol,Unknown
Cimetidine + Fexofenadine,Unknown
Cimetidine + Hydrochlorothiazide,Unknown
Cimetidine + Ofloxacin,Unknown
Cimetidine + Fluticasone,Unknown
Metformin + Haloperidol,Unknown
Haloperidol + Vancomycin,Unknown
Haloperidol + Prednisone,Unknown
Haloperidol + Simvastatin,Unknown
Ritonavir + Vancomycin,Unknown
Desmopressin + Vancomycin,Unknown
Octreotide + Vancomycin,Unknown
Bortezomib + Vancomycin,Unknown
Torasemide + Vancomycin,Unknown
Gadodiamide + Vancomycin,Unknown
Pregabalin + Vancomycin,Unknown
Ziprasidone + Vancomycin,Unknown
Venlafaxine + Vancomycin,Unknown
Bleomycin + Vancomycin,Unknown
Etomidate + Vancomycin,Unknown
Ertapenem + Vancomycin,Unknown
Gefitinib + Vancomycin,Unknown
Vinorelbine + Vancomycin,Unknown
Sucralfate + Vancomycin,Unknown
Palonosetron + Vancomycin,Unknown
Sorafenib + Vancomycin,Unknown
Rosiglitazone + Vancomycin,Unknown
Zolpidem + Vancomycin,Unknown
Nitric Oxide + Vancomycin,Unknown
Allopurinol + Vancomycin,Unknown
Acitretin + Vancomycin,Unknown
Montelukast + Vancomycin,Unknown
Duloxetine + Vancomycin,Unknown
Lenalidomide + Vancomycin,Unknown
Zidovudine + Vancomycin,Unknown
Vancomycin + Caspofungin,Unknown
Vancomycin + Erlotinib,Unknown
Vancomycin + Cefdinir,Unknown
Vancomycin + Gadoversetamide,Unknown
Vancomycin + Vincristine,Unknown
Vancomycin + Bosentan,Unknown
Vancomycin + Tigecycline,Unknown
Vancomycin + Lactulose,Unknown
Vancomycin + Voriconazole,Unknown
Vancomycin + Amiloride,Unknown
Vancomycin + Dexmedetomidine,Unknown
Vancomycin + Simvastatin,Unknown
Vancomycin + Nystatin,Unknown
Vancomycin + Sevelamer,Unknown
Vancomycin + Aprepitant,Unknown
Vancomycin + Warfarin,Unknown
Vancomycin + Tamsulosin,Unknown
Vancomycin + Sufentanil,Unknown
Vancomycin + Nateglinide,Unknown
Vancomycin + Oxcarbazepine,Unknown
Vancomycin + Alfentanil,Unknown
Vancomycin + Dacarbazine,Unknown
Vancomycin + Bimatoprost,Unknown
Vancomycin + Zonisamide,Unknown
Vancomycin + Paricalcitol,Unknown
Vancomycin + Misoprostol,Unknown
Vancomycin + Telmisartan,Unknown
Vancomycin + Desloratadine,Unknown
Vancomycin + Ezetimibe,Unknown
Vancomycin + Telithromycin,Unknown
Vancomycin + Cinacalcet,Unknown
Vancomycin + Isosorbide mononitrate,Unknown
Vancomycin + Mercaptopurine,Unknown
Vancomycin + Rifampicin,Unknown
Vancomycin + Atazanavir,Unknown
Vancomycin + Tegaserod,Unknown
Vancomycin + Rosuvastatin,Unknown
Vancomycin + Atovaquone,Unknown
Vancomycin + Calcium chloride,Unknown
Vancomycin + Arsenic trioxide,Unknown
Vancomycin + Zopiclone,Unknown
Vancomycin + Levetiracetam,Unknown
Vancomycin + Clarithromycin,Unknown
Vancomycin + Rifaximin,Unknown
Vancomycin + Aminophylline,Unknown
Vancomycin + Saquinavir,Unknown
Vancomycin + Aripiprazole,Unknown
Vancomycin + Dasatinib,Unknown
Vancomycin + Posaconazole,Unknown
Vancomycin + Varenicline,Unknown
Vancomycin + Fosphenytoin,Unknown
Vancomycin + Sodium bicarbonate,Unknown
Vancomycin + Tiotropium,Unknown
Vancomycin + Acenocoumarol,Unknown
Vancomycin + Valganciclovir,Unknown
Vancomycin + Ambrisentan,Unknown
Vancomycin + Clobetasol,Unknown
Vancomycin + Fluticasone,Unknown
Vancomycin + Aminocaproic acid,Unknown
Aminocaproic acid + Simvastatin,Unknown
Aminocaproic acid + Epinephrine,Unknown
Aminocaproic acid + Hydrocortisone,Unknown
Aminocaproic acid + Ondansetron,Unknown
Pantoprazole + Dextromethorphan,Unknown
Omeprazole + Dextromethorphan,Unknown
Dextromethorphan + Potassium chloride,Unknown
Dextromethorphan + Loperamide,Unknown
Dextromethorphan + Ranitidine,Unknown
Dextromethorphan + Famotidine,Unknown
Trandolapril + Simvastatin,Unknown
Vancomycin + Metolazone,Unknown
Metolazone + Simvastatin,Unknown
Metolazone + Ondansetron,Unknown
Oxaliplatin + Prednisone,Unknown
Vancomycin + Foscarnet,Unknown
Metformin + Cyclophosphamide,Unknown
Vancomycin + Cyclophosphamide,Unknown
Cyclophosphamide + Prednisone,Unknown
Cyclophosphamide + Simvastatin,Unknown
Cyclophosphamide + Hydrocortisone,Unknown
Rofecoxib + Simvastatin,Unknown
Phentermine + Ciprofloxacin,Unknown
Pantoprazole + Ciprofloxacin,Unknown
Mesalazine + Ciprofloxacin,Unknown
Doxycycline + Ciprofloxacin,Unknown
Clotrimazole + Ciprofloxacin,Unknown
Morphine + Ciprofloxacin,Unknown
Lansoprazole + Ciprofloxacin,Unknown
Vancomycin + Ciprofloxacin,Unknown
Ciprofloxacin + Atropine,Unknown
Ciprofloxacin + Nizatidine,Unknown
Ciprofloxacin + Nystatin,Unknown
Ciprofloxacin + Scopolamine,Unknown
Ciprofloxacin + Tetracycline,Unknown
Ciprofloxacin + Potassium chloride,Unknown
Ciprofloxacin + Sulfasalazine,Unknown
Ciprofloxacin + Dicyclomine,Unknown
Ciprofloxacin + Ranitidine,Unknown
Ciprofloxacin + Misoprostol,Unknown
Ciprofloxacin + Neomycin,Unknown
Ciprofloxacin + Minocycline,Unknown
Ciprofloxacin + Tegaserod,Unknown
Ciprofloxacin + Streptomycin,Unknown
Ciprofloxacin + Orlistat,Unknown
Ciprofloxacin + Rosuvastatin,Unknown
Ciprofloxacin + Miconazole,Unknown
Ciprofloxacin + Rabeprazole,Unknown
Ciprofloxacin + Calcium chloride,Unknown
Ciprofloxacin + Rifaximin,Unknown
Ciprofloxacin + Ursodeoxycholic acid,Unknown
Vancomycin + Nortriptyline,Unknown
Nortriptyline + Prednisone,Unknown
Nortriptyline + Simvastatin,Unknown
Benazepril + Simvastatin,Unknown
Benazepril + Ondansetron,Unknown
Metformin + Fluorouracil,Unknown
Vancomycin + Fluorouracil,Unknown
Fluorouracil + Prednisone,Unknown
Fluorouracil + Simvastatin,Unknown
Fluorouracil + Hydrocortisone,Unknown
Fluorouracil + Ondansetron,Unknown
Pyridostigmine + Simvastatin,Unknown
Piroxicam + Simvastatin,Unknown
Vancomycin + Lamotrigine,Unknown
Lamotrigine + Prednisone,Unknown
Lamotrigine + Simvastatin,Unknown
Lamotrigine + Ondansetron,Unknown
Metformin + Hydroxyzine,Unknown
Vancomycin + Hydroxyzine,Unknown
Hydroxyzine + Prednisone,Unknown
Hydroxyzine + Simvastatin,Unknown
Methotrexate + Ondansetron,Unknown
Pantoprazole + Carbamazepine,Unknown
Glimepiride + Carbamazepine,Unknown
Mesalazine + Carbamazepine,Unknown
Clotrimazole + Carbamazepine,Unknown
Acarbose + Carbamazepine,Unknown
Metformin + Carbamazepine,Unknown
Omeprazole + Carbamazepine,Unknown
Sucralfate + Carbamazepine,Unknown
Palonosetron + Carbamazepine,Unknown
Rosiglitazone + Carbamazepine,Unknown
Lansoprazole + Carbamazepine,Unknown
Vancomycin + Carbamazepine,Unknown
Carbamazepine + Atropine,Unknown
Carbamazepine + Lactulose,Unknown
Carbamazepine + Nizatidine,Unknown
Carbamazepine + Nystatin,Unknown
Carbamazepine + Nateglinide,Unknown
Carbamazepine + Scopolamine,Unknown
Carbamazepine + Tetracycline,Unknown
Carbamazepine + Potassium chloride,Unknown
Carbamazepine + Sulfasalazine,Unknown
Carbamazepine + Dicyclomine,Unknown
Carbamazepine + Loperamide,Unknown
Carbamazepine + Ranitidine,Unknown
Carbamazepine + Granisetron,Unknown
Carbamazepine + Famotidine,Unknown
Carbamazepine + Misoprostol,Unknown
Carbamazepine + Cromoglicic acid,Unknown
Carbamazepine + Glyburide,Unknown
Carbamazepine + Minocycline,Unknown
Carbamazepine + Glipizide,Unknown
Carbamazepine + Tegaserod,Unknown
Carbamazepine + Orlistat,Unknown
Carbamazepine + Rosuvastatin,Unknown
Carbamazepine + Rabeprazole,Unknown
Carbamazepine + Calcium chloride,Unknown
Carbamazepine + Ursodeoxycholic acid,Unknown
Phentermine + Cephalexin,Unknown
Pantoprazole + Cephalexin,Unknown
Glimepiride + Cephalexin,Unknown
Mesalazine + Cephalexin,Unknown
Doxycycline + Cephalexin,Unknown
Clotrimazole + Cephalexin,Unknown
Morphine + Cephalexin,Unknown
Omeprazole + Cephalexin,Unknown
Sucralfate + Cephalexin,Unknown
Rosiglitazone + Cephalexin,Unknown
Lansoprazole + Cephalexin,Unknown
Cimetidine + Cephalexin,Unknown
Vancomycin + Cephalexin,Unknown
Cephalexin + Lactulose,Unknown
Cephalexin + Nizatidine,Unknown
Cephalexin + Triamcinolone,Unknown
Cephalexin + Prednisone,Unknown
Cephalexin + Simvastatin,Unknown
Cephalexin + Nystatin,Unknown
Cephalexin + Aprepitant,Unknown
Cephalexin + Hydrocortisone,Unknown
Cephalexin + Scopolamine,Unknown
Cephalexin + Dolasetron,Unknown
Cephalexin + Tetracycline,Unknown
Cephalexin + Potassium chloride,Unknown
Cephalexin + Sulfasalazine,Unknown
Cephalexin + Dicyclomine,Unknown
Cephalexin + Loperamide,Unknown
Cephalexin + Prednisolone,Unknown
Cephalexin + Ranitidine,Unknown
Cephalexin + Chlorhexidine,Unknown
Cephalexin + Granisetron,Unknown
Cephalexin + Ondansetron,Unknown
Cephalexin + Repaglinide,Unknown
Cephalexin + Metronidazole,Unknown
Cephalexin + Famotidine,Unknown
Cephalexin + Misoprostol,Unknown
Cephalexin + Neomycin,Unknown
Cephalexin + Glyburide,Unknown
Cephalexin + Minocycline,Unknown
Cephalexin + Glipizide,Unknown
Cephalexin + Tegaserod,Unknown
Cephalexin + Orlistat,Unknown
Cephalexin + Rosuvastatin,Unknown
Cephalexin + Sibutramine,Unknown
Cephalexin + Miconazole,Unknown
Cephalexin + Rabeprazole,Unknown
Cephalexin + Pioglitazone,Unknown
Cephalexin + Clarithromycin,Unknown
Cephalexin + Metoclopramide,Unknown
Cephalexin + Dexamethasone,Unknown
Vancomycin + Propranolol,Unknown
Propranolol + Simvastatin,Unknown
Pregabalin + Atropine,Unknown
Piperacillin + Atropine,Unknown
Metformin + Atropine,Unknown
Allopurinol + Atropine,Unknown
Vancomycin + Atropine,Unknown
Atropine + Prednisone,Unknown
Atropine + Simvastatin,Unknown
Atropine + Midazolam,Unknown
Atropine + Lisinopril,Unknown
Atropine + Rocuronium,Unknown
Atropine + Propofol,Unknown
Atropine + Tacrolimus,Unknown
Atropine + Ondansetron,Unknown
Atropine + Ibuprofen,Unknown
Atropine + Ofloxacin,Unknown
Atropine + Sevoflurane,Unknown
Metformin + Clonidine,Unknown
Vancomycin + Clonidine,Unknown
Clonidine + Simvastatin,Unknown
Clonidine + Ondansetron,Unknown
Vancomycin + Valaciclovir,Unknown
